2026-03-14 17:19:08,562 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:08,562 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:08,585 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:08,585 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:08,608 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:08,608 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:08,630 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:08,630 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:08,652 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:08,653 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:08,676 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:08,676 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:08,699 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:08,699 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:08,722 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:08,722 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:08,747 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:08,747 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:08,770 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:08,770 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:08,792 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:08,792 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:08,815 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:08,815 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:08,837 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:08,837 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:08,859 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:08,860 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:08,881 - DEBUG - Checking collisions, on_ground initially: False
